run_id,note,engine,mode,shards,server_threads,shard_io_threads,cores_used,server_cpus,client_cpus,client_threads,client_conns,pipeline,ratio,data_bytes,key_max,test_time,populate,rep,ops_per_sec,ops_per_core,p50_ms,p99_ms,p999_ms,hit_rate,hits_per_sec,misses_per_sec,conn_errors,kb_per_sec
shardcheck,shardcheck-24,redis,cluster,24,4,1,24,0-3,0-95,4,25,16,1:10,100,1000000,12,1,1,2648200.5,110341.69,11.199,14.207,15.615,1.0,2407453.4,0.0,0,368119.04
shardcheck,shardcheck-48,redis,cluster,48,4,1,48,0-3,0-95,4,25,16,1:10,100,1000000,12,1,1,2658283.38,55380.9,22.655,23.935,24.447,1.0,2416617.84,0.0,0,369520.67
check48,check48,dragonfly,single,48,48,1,48,0-47,0-95,48,20,16,1:10,100,1000000,15,1,1,16719528.22,348323.5,0.831,2.079,2.831,1.0,15199541.99,0.0,0,2324135.93
check48,check48,redis,cluster,48,48,1,48,0-47,0-95,48,20,16,1:10,100,1000000,15,1,1,4270558.22,88969.96,98.815,127.999,138.239,1.0,3889011.66,0.0,0,593605.72
check48,check48,valkey,cluster,48,48,1,48,0-47,0-95,48,20,16,1:10,100,1000000,15,1,1,4395153.46,91565.7,94.207,123.903,156.671,1.0,4002513.87,0.0,0,610924.26
sat-test,sat-test,redis,cluster-sat,48,48,1,48,0-47,0-95,96,20,16,1:10,100,100000,15,1,1,3692186.08,76920.54,88.831,618.495,937.983,1.0,254716.95,0.0,0,294727.99
sat-test2,sat-test2,redis,cluster-sat,48,48,1,48,0-47,0-95,96,15,16,1:10,100,100000,20,1,1,39763968.16,828416.0,0.575,1.175,2.975,1.0,36149027.82,0.0,0,5413681.72
