run_id,note,engine,mode,shards,server_threads,shard_io_threads,cores_used,server_cpus,client_cpus,client_threads,client_conns,pipeline,ratio,data_bytes,key_max,test_time,populate,rep,ops_per_sec,ops_per_core,p50_ms,p99_ms,p999_ms,hit_rate,hits_per_sec,misses_per_sec,conn_errors,kb_per_sec
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,mget10,1024,1000000,20,1,1,135704.34,33926.08,110.591,172.031,197.631,1.0,1364233.82,0.0,0,2798607.64
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,mset10,1024,1000000,20,1,1,124542.72,31135.68,121.855,186.367,214.015,,0.0,0.0,0,2568423.46
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,1:10,1024,1000000,20,1,2,963774.53,240943.63,15.231,34.559,44.287,1.0,876133.31,0.0,0,1004568.95
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,1:1,1024,1000000,20,1,2,1138912.51,284728.13,11.775,38.399,52.991,1.0,569433.44,0.0,0,1189395.08
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,mget10,1024,1000000,20,1,2,135448.55,33862.14,111.103,172.031,196.607,1.0,1361673.86,0.0,0,2793332.53
20260901-083406,scale-4c,dragonfly,single,4,4,1,4,0-3,0-95,48,20,16,mset10,1024,1000000,20,1,2,124826.72,31206.68,121.343,185.343,212.991,,0.0,0.0,0,2574280.33
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,1,728963.8,182240.95,0.375,9.407,9.983,0.9996,662386.91,285.88,0,101302.63
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,1,729037.94,182259.48,0.375,9.535,10.047,1.0,364495.8,10.45,0,102796.86
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,100,1000000,20,1,2,733670.21,183417.55,0.367,9.471,9.983,1.0,666952.08,0.0,0,101985.61
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,100,1000000,20,1,2,722864.95,180716.24,0.375,9.599,10.111,1.0,361420.17,0.0,0,101927.49
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,100,1000000,20,1,1,3231614.74,807903.69,15.423,26.111,30.847,1.0,2937811.0,0.0,0,449217.93
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,100,1000000,20,1,1,3112849.21,778212.3,15.871,27.391,32.639,1.0,1556417.23,0.0,0,438926.6
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:10,100,1000000,20,1,2,3223920.39,805980.1,15.423,26.239,31.231,1.0,2930814.13,0.0,0,448148.38
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,16,1:1,100,1000000,20,1,2,3113500.87,778375.22,15.935,27.135,32.127,1.0,1556737.04,0.0,0,439018.55
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,1,661177.56,165294.39,0.399,10.495,11.007,1.0,601048.61,0.0,0,689163.73
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:1,1024,1000000,20,1,1,650230.64,162557.66,0.407,10.687,11.199,1.0,325102.7,0.0,0,679052.26
20260901-083406,scale-4c,redis,cluster,4,4,1,4,0-3,0-95,48,20,1,1:10,1024,1000000,20,1,2,660570.79,165142.7,0.391,10.495,11.071,1.0,600496.71,0.0,0,688531.27
